I think it was something else... Suzie says the bust was bullshit...	N
You've been a bad girl, Grace!	M
What the hell you doin', Grace?	N
All that uranium, plutonium, fuffonium, fuckononium, assononium, all that "om"!	N
I bet right now, you don't know if you want to kill me... or fuck me.	M
Women say they don't want to be taken like, really taken -- that's bullshit -- they do.	N
I was making time with your girl.	N
And here I made you all hot and sweaty...	M
A little advice about feelings kiddo; don't expect it always to tickle.	M
I mean there's someone besides your mother you've got to forgive.	N
Don King talks black, lives white and thinks green.	M
And now they got you up against George Foreman.	N
Ain't no Vietcong ever called me nigger.	M
You look like the heavyweight champion of pimps.	M
There's no "back" to take you to...	N
I'm Bruce Nolan with Eyewitness Nose... Eyewitness Nose... that's right!	M
Well, I guess that's the way life works, isn't it?	N
And that's the way the cookie crumbles.	M
Any word on the open anchor position, Jack?	N
Where can I get a cab back to town?	N
Well, he didn't say in so many words that ever since you started with that house you haven't turned in a decent piece of copy, but --	N
You've been taken to the cleaners, and you don't even know your pants are off.	M
With a few minor deviations I know exactly where every penny is going --	N
Dylan... until mommy gets back... whatever you do don't fall asleep.	M
He doesn't have to be awake to be on his feet.	N
I am Ard... Supreme Leader of The Revolution and Next Ruler of The World.	M
You will go with him to the Queen's castle and steal the Loc-Nar.	N
There was no way I was gonna walk around this place with my dork hanging out!	M
I kept thinking I was going to run out of air, but my new body worked great.	N
If you were any less black, you'd be clear.	M
If you let them in here, they will kill you.	N
I thought you know... maybe seeing you, some friends, my house... of course now a 7-11--	N
Don't tease me, you know what I do for a living.	M
And you could be... sort of like... a father figure to me....	N
I'll go put these in some rubbing alcohol.	M
We haven't seen each other since high school.	N
Well, a son is a poor substitute for a lover.	M
She's as harmless as... one of these stuffed birds.	N
We're always quickest to doubt people who have a reputation for being honest.	M
Look, this isn't much, but it might make you feel a little better.	N
She might have fooled me, but she didn't fool my mother.	M
There's just so much pushing I can take and I think...	N
I think I must have one of those faces you can't help believing.	M
Well, if it doesn't jell, it isn't aspic, and this ain't jellin'!	M
This is the first one that looked like it was hiding from the world at large.	N
I brought you nectarines cause the peaches were hard as rocks	M
And then we all smiled, and it was a great minute.	N
Like I said, it ain't me you gotta worry about.	M
Well, guess if it was trickeration he'd just do me, huh?	N
Did not know who he was fuckin' with.	M
You're dancing on razor blades here.	M
Okay, maybe that's a good thing.	N
I said I'd die for them not you Come on!	M
We're just here to carry your light, aren't we?	N
Reckon you make me some biscuits.	M
Me and him's made friends.	N
I like them French fried potaters.	M
A shovel just makes too goddamned much racket.	M
By the way, how was it out there?	N
Ben, if you mixed drinks that way you mixed metaphors, you'd be out of a job...	M
Do either of you have any idea when they stopped using that site as a rifle range?	N
Son, you got a talent for stating the obvious.	M
Little greaser sonofabitch been running a goddarn bus service.	N
When you backed me you needed somebody named Deeds to bump the other fella out of office.	N
No way they could stop it.	N
I wouldn't give you a gun if it were World War 3.	M
We go out, we find those damn snake things, we make 'em extinct.	N
Is white guilt supposed to make me forget that I run a business?	M
You know, a good cop will never let you know he knows you're full of shit.	M
Half a million dollars will always be missed.	M
I know the type, trust me on this.	N
The cops didn't try and strangle my ass.	N
My ass may be dumb, but I ain't no dumbass.	M
That's why she's givin' up my money huh?	N
You can't trust Melanie but you can trust Melanie to be Melanie.	M
Don't you puke on my shoes Harry.	M
They say the fucking smog is the fucking reason you have such beautiful fucking sunsets.	M
The guy's been in town two days, and already he thinks he's David O. Fucking Selznick.	M
I got an idea for a movie.	M
The door from the patio, in back.	N
Where's Chili Palmer, where's Leo DeVoe... *where's* my fuckin' money?	M
Forget all the bullshit from before -- I don't even remember how it started.	N
I'm the guy who's telling you the way it is.	M
You're gonna be here, behind 'em when they sit down.	N
What is the point of living in L.A. if you're not in the movie business?	M
You must be makin' some big deals, doin' lunch in a place like this?	N
But you know, madame, the stock market, bank crash ... To make a long story short--a member of the nouveaux poor.	N
I came here to rob you, but unfortunately I fell in love with you.	M
Just a matter of time, I suppose.	M
I always thought I knew the punchline.	N
She had lovers, but she saved that for marriage.	N
How can I stop talking about something that's so HUGE?	M
You look so much more attractive when you're self- assured.	N
Unfortunately, you don't have the balls to back up the actions of your huge cock.	M
Put it this way, God made up for what he did to Gumby with Ted here.	N
Won't stop until he finds it.	N
This is no rabble of mindless Orcs.	N
I consider myself a nerd.	M
I already saw it once.	N
The future has taken root in the present.	M
But it'll take another, a greater king...	N
Good and evil, there never is one without the other.	M
Never where you expect it, that's all I know.	N
I gotta go break the news to Megan's friends about what's happened.	N
It does what ever the fuck I tell it to do!	N
Just call me Darth Balls... Bong.	M
This was a good idea, Lunchbox.	N
Are we gonna have a problem... again?	M
Will, what're we gonna do now?	N
Well what are you waiting for, bitch?	N
Neither did I. Shit, neither did the studio.	N
Hey, I wanted to go down, but I was waiting until I got to know her a little better.	N
I'm gonna finger-bang her tight little asshole / Finger-bang and tea-bag my balls / Where, where, in her mouth / Balls a-plenty in her mouth / Balls Balls Sweaty Balls	M
You'll have to be faster than Walt Flanagan's Dog to outrun the warrior gorillas, who hunt humans for sport, profit, and the occasional inter- species blow-job.	N
Dude, I think I just filled the cup.	M
These men are the leaders of a terrorist organization wanted for the abduction of a monkey.	N
So you want me to tell you the story of my life?	M
You'd have to have a lot of tape for my story.	N
So it was, when I'd given up the search for vampires, that a vampire found me.	M
I think the very name of Paris brought a rush of pleasure to me that was extraordinary.	N
A little child she was, but also a fierce killer, now capable of the ruthless pursuit of blood with all a child's demanding.	M
...and finally, when I could stand it no longer, I stood in an empty desolate street and heard the sound of a child crying.	N
We are predators, Whose all seeing eyes were meant to give them detachment.	M
Your income from cotton alone will keep us in comfort for a century.	N
Tell me how it came to be that I am this... thing...	N
Do you want to die here?	M
I won't let it happen, okay?	M
After Lewton, you should've been next.	N
I got this feeling... a weird feeling.	M
You think I'm some sort of...	N
I knew I shoulda hit on Tammy in the pool that time.	M
I am... so close to puking, you don't wanna know.	N
Don't bother to scream.	M
We fell from grace together.	N
I'd keep my promises if I were you.	M
I'm sure the lady knows her own mind.	N
Who knocked up your sister?	M
Just 'cause you're beautiful, that doesn't mean that you can treat people like they don't matter.	M
You don't strike me as the type that would ask permission.	N
And I'm BACK IN THE GAME!	M
She's partial to Joey, not me	N
I guess in this society, being male and an asshole makes you worthy of our time.	M
Patrick, Pat, you're not looking at the big picture.	N
It's not everyday you find a girl who'll flash someone to get you out of detention.	M
Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...	N
Watching that bitch violate my car doesn't count as a date.	M
So get your ass on hers by the end of the week.	N
Remove head from sphincter, then drive!	M
Ask Bianca who drove her home	N
Jesus Christ, that's Jason Bourne!	M
Get the asset out of there ...	N
Issue a standing kill order on Jason Bourne, effective immediately.	M
It's better if we do this together.	N
She could talk her way out of a sunburn.	M
Yeah, well, that's a Hazard of the jjj...	N
And we were dressed from head to toe in love... the only label that never goes out of style.	M
For the last five months I've been thinking that it's a huge mistake that you left Steve.	N
Yeah, it's all so hot three days in!	M
I let the sex go out of our marriage!	N
Just calling to make sure you aren't hanging from your shower rod.	M
Yes, the honeymoon to a romantic Mexican resort that I prepaid on my credit card to surprise the man who jilted me.	M
Well, if you change your minds, I know where we can get one hundred beef, seventy-five fish and twenty- five vegetarian meals.	N
It wasn't logic, it was love.	M
It's a once in a lifetime opportunity - so spare me a week of faux soul-searching and just say yes.	N
It's my lot in life to be surrounded by beautiful women.	M
Is a relationship saying his name fifty times more a day than my own?	M
It's more than that -- lately, I haven't been feeling a connection to --	N
Year after year, twenty-something women come to New York City in search of the two L's: labels and love.	M
I had told Louise to put Big in a place where I would never have to hear from him again.	N
Ever Thine, Ever Mine, Ever Ours.	M
Which is why I called them.	N
Here I am, you lucky people!	M
It's a test of skill.	N
Well... You can want in one hand and shit in the other, and see which one fills first.	M
Why, I'm so scared, I'm so scared, I'm so scared, wo-o-o!	M
Well, he's got about as much chance of one as of the other.	N
You left the cap off the toothpaste again.	M
Spat on the floor as I walked by.	N
To absent friends... To family.	M
You have the bridge, Commander.	N
You have the bridge... Mr. Troi.	M
Data, Worf, you're with me.	N
You're too slow, old man.	M
And you can't contact Starfleet.	N
I will always be puzzled by the human predilection for piloting vehicles at unsafe velocities.	M
I believe my memory engrams would sense the absence of your specific reactions and behavior.	N
Ladies and gentlemen, and invited transgendered species...	M
Geordi, if you will come with me.	N
Can you learn to see in the dark, Captain?	M
I have little interest in your quaint vessel, Captain.	N
You know, all things considered, Data, I think you have nicer eyes.	M
It has the ability to consume organic material at the subatomic level.	N
I think it's time to try some unsafe velocities.	M
No cold feet, or any other parts of our anatomy.	N
Some ideals are worth dying for, aren't they, Jean-Luc?	M
I have two arms and ten fingers.	N
Professor Marvel never guesses, he knows!	M
Well, well, well -- house guests, huh?	N
Unusual weather we're having, ain't it?	M
I'd be monarch of all I survey....	N
How about a little fire, Scarecrow?	M
Ah -- now we've got them!	N
A heart is not judged by how much you love; but by how much you are loved by others.	M
Times being what they were, I accepted the job, -- retaining my balloon against the advent of a quick get-away.	N
Pay no attention to that man behind the curtain.	M
Tap - tap - tap - tap - What was that - that - that?	N
I can barely hear my heart beating!	M
That's what the other man said.	N
I think I'll miss you most of all.	M
Oh, dear -- that's too wonderful to be true!	N
Only bad witches are ugly.	M
She brings you good news.	N
He's not coming back.	M
If I had a horse...	N
Ask her the name of the first hospital.	N
Here I am, sitting in the center of a lot of wealth, the escalation in crime couldn't be better, and I'm not turning a damn nickel on it!	M
Then call this number -- 555-7617: tell the man "blue horseshoe loves Anacott Steel..." You scored, Buddy!	N
Sure went down the toilet with that ugly bitch.	M
Tell Mr. Ehrlich I've got important financial news!	N
You gonna tell me the difference between this guy and that guy is luck?	M
Use a stop loss so your downside is 50,000, and buy yourself a decent suit.	N
The most valuable commodity I know of is information.	M
'Cause they're sheep -- and the sheep get slaughtered.	N
We're all just one trade away from humility.	M
...things are so bad, even the liars are complaining.	N
Gutsiest move I ever saw, Mav.	M
I died enough for one night.	N
That was some of the best flying I've seen to date - right up to the part where you got killed.	M
Don't they ever stop migrating?	M
Did you find her all right?	N
Alimony is just another word for RAPE.	M
They had a very popular series together.	N
But the false promise of a new dawn usually leads to a most bloody sunset.	M
...remarkable that his 'Faith Factory' is being financed by an entire nation's indigestion.	N
You know I don't like to wear any underwear, don't you, Nick?	M
I wanted to write a book about the murder of a retired rock star.	N
Everyone that she plays with dies.	M
I went over to your place.	N
Listen, Vanessa, I'm a swinger... That's what I do, I swing.	N
I demand the sum... OF 1 MILLION DOLLARS.	M
I was therefore by definition only partially frozen.	N
That's not your mother, it's a man, baby!	M
Maybe these photographs are the last piece of that puzzle.	N
There's nothing as pathetic as an aging hipster.	M
You're thin, I'm about forty pounds overweight.	N
Au contraire baby, you can't resist me.	M
It's not what it looks like, Vanessa.	N
You run the job, but I run the show.	M
There never was, and there never will be, another like you.	M
Peace and quiet is for libraries!	M
I - I don't know, Bill.	N
The bed looks like a dead animal act.	M
This you can't do in Times Square...	N
Unless you'd like to take her drink up to her...	N
The atmosphere is very MacBeth-ish... what has, or is about to, happen?	M
Real diamonds in a wig, the world we live in.	M
They keep you under drugs out there with armed guards...	N
- shows up for an audition when everyone knew I'd be here... and gives a performance!	N
I'll never forget this night as long as I live, and I'll never forget you for making it possible.	M
